code;label-nl_BE;label-en_GB;label-fr_BE;allowed_extensions;auto_option_sorting;available_locales;copy_to_blueprint;date_max;date_min;decimals_allowed;default_metric_unit;group;hidden;localizable;max_characters;max_file_size;metric_family;minimum_input_length;min_characters;negative_allowed;number_max;number_min;reference_data_name;scopable;sort_order;target_entity;type;unique;useable_as_grid_filter;validation_regexp;validation_rule;wysiwyg_enabled
VPAT_blade;"Kantelblad (VPAT blade)";"VPAT blade";;;;;0;;;;;options;0;0;;;;;;;;;;0;5;Category;pim_catalog_boolean;0;0;;;
Extra_Brandstof;"Extra brandstof meegeleverd (2 Takt, 4 Takt,...)";"Extra brandstof meegeleverd (2Takt,4Takt,...)";;;;;0;;;;;remarks;0;0;;;;;;;;;;0;0;Category;pim_catalog_boolean;0;0;;;
construction_year;Bouwjaar;Bouwjaar;;;;;0;;;0;;general;0;0;;;;;;0;2019.0000;2008.0000;;0;11;Product;pim_catalog_number;0;1;;;
fuel_type;Brandstof;Brandstof;;;;;0;;;;;fuel;0;1;;;;;;;;;;0;11;Product;pim_catalog_simpleselect;0;1;;;
customer_object_id_number;"Intern Tuignummer";"Intern Tuignummer";;;;;0;;;;;general;0;0;;;;;;;;;;0;1;Product;pim_catalog_text;0;1;;;
model;Model;Model;;;;;1;;;;;general;0;0;;;;;;;;;;0;10;Product;pim_catalog_text;0;1;;;
km_charge_price;"Prijs per kilometer voor transport";"Prijs per kilometer voor transport";;;;;0;;;1;KILOMETER;other;0;1;;;Length;;;0;;;;0;16;Product;pim_catalog_metric;0;1;;;
fixed_transport_price;"Transportprijs (heen+terug) incl. km heffing";"Vaste transportprijs";;;;;0;;;1;;price;0;1;;;;;;0;;;;0;17;Product;pim_catalog_number;0;1;;;
fuel_tank_liters;"Volume brandstoftank";"Volume brandstoftank";;;;;0;;;1;LITER;specifications;0;1;;;Volume;;;0;;;;0;15;Product;pim_catalog_metric;0;1;;;
weight_operating;"Gewicht tuig";"Gewicht tuig";;;;;0;;;1;TON;specifications;0;1;;;Weight;;;0;;;;0;0;Product;pim_catalog_metric;0;1;;;
work_load_max;"Maximale werklast/hefvermogen";"Maximale werklast/hefvermogen";;;;;0;;;0;TON;dimensions;0;1;;;Weight;;;0;;;;0;21;Product;pim_catalog_metric;0;1;;;
range_max;"Maximaal bereik";"Maximaal bereik";;;;;0;;;1;METER;dimensions;0;1;;;Length;;;0;;;;0;22;Product;pim_catalog_metric;0;1;;;
width_total;"Totale breedte";"Totale breedte";;;;;0;;;1;METER;dimensions;0;1;;;Length;;;0;;;;0;23;Product;pim_catalog_metric;0;1;;;
type_buckets;"Type bak ";"Type bak ";;;;;0;;;;;specifications;0;0;;;;;;;;;;0;27;Product;pim_catalog_multiselect;0;1;;;
width_tracks;"Breedte rupsen";"Breedte rupsen";;;;;0;;;1;CENTIMETER;dimensions;0;1;;;Length;;;0;;0.0000;;0;28;Product;pim_catalog_metric;0;1;;;
ad_blue;"Ad Blue";"Ad Blue";;;;;0;;;;;specifications;0;0;;;;;;;;;;0;31;Product;pim_catalog_boolean;0;1;;;
remarks_transport;"Opmerkingen transport";"Opmerkingen transport";;;;;0;;;;;transport;0;1;;;;;;;;;;0;32;Product;pim_catalog_textarea;0;0;;;
gps_positioning_system;"GPS positionering";"GPS positionering";;;;;0;;;;;gps;0;0;;;;;;;;;;0;35;Product;pim_catalog_multiselect;0;1;;;
datasheet;"Technische Specificaties";"Technische Specificaties";;pdf;;;0;;;;;specifications;0;0;;20.00;;;;;;;;0;20;Product;pim_catalog_file;0;0;;;
unmanned_0_4_price;"Onbemand | < 5 werkdagen";"Onbemand | < 5 werkdagen";;;;;0;;;1;DAY;price;0;1;;;Duration;;;0;;;;0;0;Product;pim_catalog_metric;0;1;;;
unmanned_5_19_price;"Onbemand | 5 tot 19 werkdagen";"Onbemand | 5 tot 19 werkdagen";;;;;0;;;1;DAY;price;0;1;;;Duration;;;0;;;;0;1;Product;pim_catalog_metric;0;1;;;
unmanned_20_price;"Onbemand | > 19 werkdagen";"Onbemand | > 19 werkdagen";;;;;0;;;1;DAY;price;0;1;;;Duration;;;0;;;;0;2;Product;pim_catalog_metric;0;1;;;
unmanned_overtime_price;"Meerprijs indien > 8u per werkdag";"Meerprijs indien > 8u per werkdag";;;;;0;;;1;HOUR;other;0;1;;;Duration;;;0;;;;0;46;Product;pim_catalog_metric;0;1;;;
unmanned_minimal_rental_price;"Minimale huurprijs onbemand";"Minimale huurprijs onbemand";;;;;0;;;1;;other;0;1;;;;;;0;;;;0;47;Product;pim_catalog_number;0;1;;;
manned_0_4_price;"Bemand | < 5 werkdagen";"Bemand | < 5 werkdagen";;;;;0;;;1;DAY;other;0;1;;;Duration;;;0;;;;0;48;Product;pim_catalog_metric;0;1;;;
manned_5_19_price;"Bemand | 5 tot 19 werkdagen";"Bemand | 5 tot 19 werkdagen";;;;;0;;;1;DAY;other;0;1;;;Duration;;;0;;;;0;49;Product;pim_catalog_metric;0;1;;;
manned_20_price;"Bemand | > 19 werkdagen";"Bemand | > 19 werkdagen";;;;;0;;;1;DAY;other;0;1;;;Duration;;;0;;;;0;50;Product;pim_catalog_metric;0;1;;;
manned_overtime_price;"Meerprijs overuren > 8u per werkdag";"Meerprijs overuren > 8u per werkdag";;;;;0;;;1;HOUR;other;0;1;;;Duration;;;0;;;;0;51;Product;pim_catalog_metric;0;1;;;
manned_minimal_rental_price;"Minimale huurprijs bemand";"Minimale huurprijs bemand";;;;;0;;;1;;other;0;1;;;;;;0;;;;0;52;Product;pim_catalog_number;0;1;;;
has_insurance;Verzekering;Verzekering;;;;;0;;;;;documents;0;0;;;;;;;;;;0;54;Product;pim_catalog_boolean;0;1;;;
insurance;Verzekeringsdocument;Verzekeringsdocument;;pdf;;;0;;;;;documents;0;0;;10.00;;;;;;;;0;55;Product;pim_catalog_file;0;0;;;
certificate;Attestendocument;Attestendocument;;pdf;;;0;;;;;documents;0;0;;10.00;;;;;;;;0;56;Product;pim_catalog_file;0;0;;;
has_certificates;"Attesten beschikbaar";"Attesten beschikbaar";;;;;0;;;;;documents;0;0;;;;;;;;;;0;57;Product;pim_catalog_boolean;0;0;;;
images;Foto's;Foto's;;;;;0;;;;;images;0;0;;10.00;;;;;;;;0;58;Product;pim_catalog_image;0;0;;;
remarks_owner_machine;"Opmerkingen over machine";"Opmerkingen over machine";;;;;0;;;;;remarks;0;1;;;;;;;;;;0;59;Product;pim_catalog_textarea;0;0;;;
image_sku;"Foto's van het tuig";"Foto's van het tuig";;;;;0;;;;;images;0;0;;10.00;;;;;;;;0;60;Product;pim_catalog_image;0;0;;;
is_active;Actief;Actief;;;;;0;;;;;general;0;1;;;;;;;;;;1;2;Product;pim_catalog_boolean;0;1;;;
is_blueprint;Blueprint;Blueprint;;;;;0;;;;;general;0;0;;;;;;;;;;0;12;Product;pim_catalog_boolean;0;1;;;
blueprint_reference;"Blueprint link";"Blueprint link";;;;;0;;;;;general;0;0;;;;;;;;;;0;13;Product;pim_catalog_text;0;1;;;
company;Bedrijf;Bedrijf;;;;;0;;;;;general;0;0;;;;;;;;;;0;5;Product;pim_catalog_simpleselect;0;1;;;
Important_Notes_Machines;"Belangrijke zaken over machine (type snelkoppeling,...)";;;;;;0;;;;;Uittevoerenwerken;0;0;;;;;;;;;;0;0;Category;pim_catalog_textarea;0;0;;;
user;Gebruiker;;Gebruiker;;;;0;;;;;general;0;0;;;;;;;;;;0;7;Product;pim_catalog_simpleselect;0;1;;;
Requirements_Machines;"bv type snelkoppeling, maximale breedte,...";;;;;;0;;;;;Extra_Requirements_Machine;0;0;;;;;;;;;;0;0;Category;pim_catalog_textarea;0;0;;;
Withoutcabine;"Zonder cabine";"Without cabine";;;;;0;;;;;options;0;0;;;;;;;;;;0;14;Product,Category;pim_catalog_boolean;0;1;;;
strenght_wheels;"Verstevigde banden";"Verstevigde banden";;;;;0;;;;;options;0;0;;;;;;;;;;0;27;Product,Category;pim_catalog_boolean;0;1;;;
Full_tires;"Volle banden";"Full Tires";;;;;0;;;;;options;0;0;;;;;;;;;;0;29;Product,Category;pim_catalog_boolean;0;0;;;
Compation_wheel;Verdichtingswiel;Verdichtingswiel;;;;;0;;;;;annex;0;0;;;;;;;;;;0;27;Category;pim_catalog_boolean;0;0;;;
lifting_arm;Hijsarm;"lifting arm";;;;;0;;;;;annex;0;0;;;;;;;;;;0;28;Category;pim_catalog_boolean;0;0;;;
steering_ats;"ATS/UTS sturing";;"ATS/UTS sturing";;;;0;;;;;options;0;0;;;;;;;;;;0;0;Product,Category;pim_catalog_boolean;0;1;;;
extra_hydraulic_circuit;"Extra hydraulisch circuit";"Extra hydraulisch circuit";"Extra hydraulisch circuit";;;;0;;;;;specifications;0;0;;;;;;;;;;0;2;Product;pim_catalog_boolean;0;1;;;
second_hydraulic_circuit;"Tweede extra hydraulisch circuit";"Tweede extra hydraulisch circuit";"Tweede extra hydraulisch circuit";;;;0;;;;;specifications;0;0;;;;;;;;;;0;3;Product;pim_catalog_boolean;0;1;;;
steering_gps;"GPS sturing";"GPS sturing";"GPS sturing";;;;0;;;;;options;0;0;;;;;;;;;;0;0;Product,Category;pim_catalog_boolean;0;1;;;
has_driver;"Heeft een vaste bestuurder";"Heeft een vaste bestuurder";"Heeft een vaste bestuurder";;;;0;;;;;control;0;0;;;;;;;;;;0;0;Product;pim_catalog_simpleselect;0;1;;;
has_license_plate;"Nummerplaat aanwezig";"Nummerplaat aanwezig";"Nummerplaat aanwezig";;;;0;;;;;options;0;0;;;;;;;;;;0;0;Product;pim_catalog_boolean;0;1;;;
height_total;"Totale hoogte";"Totale hoogte";"Totale hoogte";;;;0;;;1;CENTIMETER;dimensions;0;0;;;Length;;;0;;;;0;0;Product;pim_catalog_metric;0;1;;;
length_total;"Totale lengte";"Totale lengte";"Totale lengte";;;;0;;;1;CENTIMETER;dimensions;0;0;;;Length;;;0;;;;0;0;Product;pim_catalog_metric;0;1;;;
quick_coupler;Snelwissel;Snelwissel;Snelwissel;;;;0;;;;;specifications;0;0;;;;;;;;;;0;4;Product;pim_catalog_text;0;1;;;
rotating_tipper;"Roterende Kipbak";"Roterende Kipbak";"Roterende Kipbak";;;;0;;;;;options;0;0;;;;;;;;;;0;0;Product;pim_catalog_boolean;0;0;;;
blade_s;"S Blade";"S Blade";"S Blade";;;;0;;;;;options;0;0;;;;;;;;;;0;0;Product;pim_catalog_boolean;0;1;;;
