sku;barcode_1;supplier_1_order_code;title_short;supplier_1;supplier_1_purchase_price_net;price_trading;price_sale-nl_NL;price_advice;vat_code_NL;threshold_quantity;supplier_1_amount_order_factor
385848;8712013151564;6415156;Droogcarrousel vouwbaar 36 knijp;2;5.10;0.00;9.95;15.75;2;20;24.00
385852;0060823250006;6603425;Reliance Jerrycan opvouwbaar 10ltr;2;5.47;0.00;9.95;14.95;2;10;24.00
385853;0060823500002;6603450;Reliance Jerrycan opvouwbaar 20ltr;2;6.21;0.00;11.95;18.50;2;;24.00
385855;0060823150702;6603470;Reliance Waterzak opvouwbaar 20ltr;2;5.79;0.00;9.95;15.95;2;10;12.00
385858;8712013811154;6681115;BC Jerrycan opvouwbaar 7,5 ltr;2;2.02;0.00;3.95;5.95;2;;48.00
385859;8712013811185;6681118;BC Jerrycan opvouwbaar 15 ltr;2;2.64;0.00;5.95;6.95;2;20;24.00
385872;8712013083476;8108347;BC BBQ notebook/vuurkorf RVS klein;2;11.71;0.00;19.95;29.95;2;10;10.00
387305;8715999179485;SIGL-165-10-07;Wildecat Mitten Black;8850;9.25;0.00;19.95;24.99;2;;1.00
387341;8718924885260;TR26N3;Popal Daily Dutch Basic+ 26'';13680;180.00;0.00;309.00;0.00;2;;0.00
387412;8712757411313;5706661;Wartelmoer knelkoppeling;640;4.20;0.00;11.95;12.00;2;;1.00
387981;8713229363529;8713229363529;Summer 4 Easy Air;14670;134.48;240.00;299.00;0.00;2;20;1.00
388500;---;7200050299;Gordijnstop 5pc Hobby 6mm v.a 99;810;0.60;0.00;1.95;3.95;2;10;1.00
388588;8714503234269;5001017-ST;Teddy plaid 150x200cm stone;515;8.70;0.00;16.95;0.00;2;10;0.00
388590;8714503247030;8101001-DO;Alaska plaid 130x160cm d grey;515;8.70;0.00;16.95;0.00;2;5;0.00
388591;8714503247047;8101001-GR;Alaska plaid 130x160cm grey;515;8.70;0.00;16.95;0.00;2;5;0.00
388599;8714503247061;8101001-OU;Alaska plaid 130x160cm oud roze;515;8.70;0.00;16.95;0.00;2;2;0.00
388600;8714503247078;8101001-ST;Alaska plaid 130x160cm stone;515;8.70;0.00;16.95;0.00;2;5;0.00
388604;8712757411443;5703781;Puntstuk bu.dr recht;640;2.09;0.00;4.50;4.50;2;;1.00
390269;0731882302127;0731882302127;Hartland 390 De Luxe;14670;172.36;0.00;459.00;0.00;2;20;1.00
390300;8714503242530;33010113-A;Enzo plaid 130x180 antraciet;515;4.70;0.00;8.95;0.00;2;20;1.00
390304;8714503245463;5401440-SE;Coby plaid 130 x 160cm harbour gree;515;7.50;0.00;14.95;0.00;2;20;1.00
390306;8714503235150;4515030-ST;Lars coral fleece 150x200cm stone;515;11.20;0.00;19.95;0.00;2;10;1.00
391041;8719075945025;BU-53407;Simplex alu medium;12750;0.75;0.00;1.50;0.00;2;;0.00
391042;8719075945049;BU-53417;Simplex alu short;12750;0.75;0.00;1.50;0.00;2;;0.00
391043;8719075945056;BU-53427;Simplex alu x-short;12750;0.75;0.00;1.50;0.00;2;;0.00
391051;8719075951668;MK-IFL0028;Flight 100micron flowers;12750;0.55;0.00;1.10;0.00;2;;0.00
391071;8719075942406;BU-17018;Dartpijl TANK 18GR;12750;6.95;0.00;13.95;13.95;2;;0.00
391341;7318572392991;1903714-1410;Craft Active Comfort RN LS W;76;20.25;0.00;39.95;44.95;2;1;0.00
391683;4015000417327;5712203;Pattex special plastic 30 gram;2;4.53;0.00;8.95;9.50;2;10;6.00
391954;8716404214944;0591;Hoofdband Gelamineerd Fleece;2360;1.35;0.00;2.95;0.00;2;;1.00
391956;8716404214968;0591;Hoofdband Gelamineerd Fleece;2360;1.35;0.00;2.95;0.00;2;;1.00
391995;4103810025631;S8492.13.00;Haakse trechter m/zeef;12060;5.45;0.00;8.95;9.50;2;10;0.00
392355;8711295745690;105600010;Selfiestick met telefoonhouder;700083;1.25;0.00;2.95;0.00;2;;24.00
392367;8711295693526;DB9215570;Toilettas dierenprint;700083;1.10;0.00;2.50;0.00;2;;96.00
392385;8711295025945;DX4000020;Stoomstrijkijzer 2000W;700083;5.50;0.00;9.95;0.00;2;5;12.00
392389;8009271673007;042366140;Voetenbank Calypso antraciet;700083;2.00;0.00;3.95;0.00;2;;60.00
392393;8718158949196;159370040;Nekkussen;700083;1.80;0.00;3.95;0.00;2;;36.00
392398;8711295216077;170417700;Paella pan dia 38.5cm;700083;3.50;0.00;6.95;0.00;2;20;6.00
392401;8711295826627;DS6000890;Drinkglas met handvat en rietje;700083;0.45;0.00;1.25;0.00;2;;24.00
392404;8711295257667;212000110;Luchtverfrisser lampmodel;700083;0.50;0.00;1.00;0.00;2;;48.00
392405;8711295726415;212000130;Luchtverfrisser parels;700083;0.50;0.00;1.25;0.00;2;;24.00
392406;8718158497260;M05000080;Garderobekast;700083;7.50;0.00;15.95;0.00;2;10;4.00
392412;8711295850509;679888840;Asbak 95x80mm vintage;700083;1.10;0.00;1.95;0.00;2;;32.00
392448;8712013103556;5410355;Bindriem 18mm/30cm;2;1.28;0.00;2.95;3.10;2;50;10.00
392451;8711268425376;72.533.015;Santa marta dining Xerix;760;61.25;0.00;129.00;174.95;2;8;1.00
392473;8421228033809;1149076;CR stoel AP-237/80 Air-Deluxe;2;73.20;0.00;119.00;159.95;2;20;1.00
392474;8421228160802;1104897;CR voetenbank AP-231/80 Air-Deluxe;2;26.98;0.00;52.95;61.95;2;20;5.00
392475;8421228058406;1104898;CR voetenbank AL-231/40 grijs DLX;2;26.98;0.00;52.95;61.95;2;20;5.00
392476;8421228058413;1104899;CR voetenbank AL-231/41 blauw DLX;2;30.51;0.00;52.95;59.95;2;20;5.00
392477;8421228159806;1104922;CR relaxstoel AP-232/80 Air-Deluxe;2;103.34;0.00;179.00;238.95;2;10;1.00
392478;8421228162806;1149282;CR stoelhoes Air-Deluxe;2;16.97;0.00;26.90;41.95;2;20;5.00
392479;8421228136890;1151330;CR tafel AP-245/80 alu 80x61cm;2;51.89;0.00;89.95;119.95;2;20;1.00
392480;8421228137897;1151355;CR tafel AP-246/80 alu 101x65cm;2;64.25;0.00;114.95;145.95;2;20;1.00
392481;8421228138894;1151380;CR tafel AP-247/80 alu 110x70cm;2;74.64;0.00;129.95;163.95;2;20;1.00
392494;2810-50T;2810-50T;Popal Daily Dutch Basic+;13680;182.00;0.00;299.00;0.00;2;;1.00
392519;8712442903079;22275048;Kelneropener rvs/zwart;2600;0.95;0.00;2.50;0.00;2;0;24.00
392527;8712442905981;23320927;Reis-/drinkbeker RVS;2600;1.25;0.00;2.95;0.00;2;0;12.00
392530;8712442909651;22271190;BBQ Sat�prikkers 30cm set 100;2600;0.35;0.00;0.75;0.00;2;50;24.00
392531;8712442044697;23365420;Kaart/6xBBQ-pen 27cm;2600;0.55;0.00;1.50;0.00;2;50;24.00
392537;8712442130666;23468339;Standaard voor pot 3/5liter;2600;1.50;0.00;2.95;0.00;2;;12.00
392543;8712442131571;24531832;Drinkfles m/fruit inzet 750ml;2600;1.25;0.00;2.95;0.00;2;0;24.00
392556;TR24N3-GR;TR24N3-GR;Popal Daily Dutch 24;13680;180.00;0.00;309.00;0.00;2;;1.00
393793;8712013047386;1204738;BC Vouwstoel Deluxe verstelbaar;2;21.00;0.00;39.95;62.95;2;20;4.00
393794;8712013047621;1204762;BC Stoel Copa Rio Beach Graphite;2;13.20;0.00;24.95;37.95;2;20;5.00
393796;8712013119618;1211961;BC Stoel Copa Rio Comfort XXL Graph;2;16.00;0.00;29.95;49.95;2;20;7.00
393797;8712013043807;1404380;BC Premium Tafel afn.poten 60x45cm;2;13.70;0.00;29.95;41.50;2;20;6.00
393798;8712013044255;1404425;CA Tafel Economy 60x40cm;2;8.11;0.00;16.95;23.95;2;10;6.00
393799;8712013044262;1404426;CA Tafel Economy 80x60cm;2;12.94;0.00;25.95;37.50;2;10;4.00
393801;8712013144290;1404429;BC Premium Tafel Rustic 90x60cm;2;28.15;0.00;58.95;76.95;2;10;4.00
393802;8712013936581;1693658;BC Legkast laag compact;2;23.21;0.00;43.95;71.95;2;5;2.00
393803;8712013093710;1709371;BC Lade opvouwbaar large 2 stuks;2;3.27;0.00;7.95;9.95;2;20;3.00
393804;8712013093765;1709376;BC Lade opvouwbaar small 2 stuks;2;2.52;0.00;5.95;6.95;2;20;3.00
393805;8712013492841;1849284;BC Stoelhoes badstof M lichtgrijs;2;4.70;0.00;9.95;15.95;2;20;24.00
393806;8712013492865;1849286;BC Stoelhoes badstof L lichtgrijs;2;6.39;0.00;12.95;18.95;2;40;18.00
393809;8712013020488;2102048;BC Fluitketel Trend 1 rvs;2;3.18;0.00;8.95;10.50;2;20;12.00
393810;8712013042152;2304215;BC Grillpan Sprint ECO 26cm;2;5.56;0.00;11.95;14.50;2;20;6.00
393811;8712013244204;2304420;BC Steelpan Turn d.16cm;2;6.84;0.00;12.95;15.95;2;10;12.00
